"8025";"3100-008025";"Les prédateurs du Campagnol terrestre (Arvicola terrestris scherman): relations trophiques";"";"Mermod Claude Phil.";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30202";"Zoology";"Biology and Medicine;General Biology";"30202";"01.04.1985";"31.03.1988";"94534.00";""
"8104";"3100-008104";"Immunological studies in Xenopus.";"";"Fischberg H.-Azimi Irandokht";"Project funding (Div. I-III)";"Project funding";"Station de Zoologie Expérimentale";"Switzerland";"University of Geneva - GE";"30403";"Immunology, Immunopathology";"Biology and Medicine;Experimental Medicine";"30403";"01.04.1985";"31.03.1990";"46500.00";""
"8152";"3100-008152";"Protein factors controlling transcription of eucaryotic structural genes in the xenopus oocyte system";"";"Rungger Duri";"Project funding (Div. I-III)";"Project funding";"Station de Zoologie Expérimentale";"Switzerland";"University of Geneva - GE";"30104";"Genetics";"Biology and Medicine;Basic Biological Research";"30104";"01.10.1984";"30.09.1987";"242428.00";""
"8198";"3100-008198";"Recherches sur les Tiques (Ixodoidea)";"";"Aeschlimann André";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30202";"Zoology";"Biology and Medicine;General Biology";"30202";"01.10.1984";"30.09.1987";"725121.00";""
"8308";"3100-008308";"Atlas de répartition des poissons de la Suisse";"";"Pedroli Jean-Carlo";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30207";"Ecology";"Biology and Medicine;General Biology";"30207/30202";"01.10.1985";"30.09.1988";"122313.00";""
"8479";"3100-008479";"Rhopalocères (Lepidoptères) et structure du paysage: un exemple d'analyse écologique appliquée à la Protection de la Nature";"";"Matthey Willy";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30207";"Ecology";"Biology and Medicine;General Biology";"30207";"01.04.1986";"31.03.1987";"28525.00";""
"8847";"3100-008847";"Rhopalocères (Lépidoptères) et structure du paysage : un exemple d'analyse écologique appliquée à la protection de la Nature";"";"Matthey Willy";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30207";"Ecology";"Biology and Medicine;General Biology";"30207";"01.04.1987";"31.03.1989";"64808.00";""
"9064";"3130-009064";"Chemical factors in influencing a plant/herbivore/predator association (START-Beitrag)";"";"Rahier Martine";"Careers";"";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30207";"Ecology";"Biology and Medicine;General Biology";"30207";"01.04.1988";"30.09.1994";"793651.00";""
"9171";"3100-009171";"Trans-activation of cell type specific genes in the Xenopus oocyte";"";"Rungger Duri";"Project funding (Div. I-III)";"Project funding";"Station de Zoologie Expérimentale";"Switzerland";"University of Geneva - GE";"30104";"Genetics";"Biology and Medicine;Basic Biological Research";"30104";"01.10.1987";"30.09.1990";"300443.00";"RECDNA"
"9194";"3100-009194";"Studies on chemical ecology, sensory physiology and behaviour of ticks";"";"Diehl Peter Allan";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30202";"Zoology";"Biology and Medicine;General Biology";"30202";"01.10.1987";"30.09.1990";"314199.00";""
