"1000";"1000-001000";"Stadtkernforschung Biel: Strukturanalytische Monographie und Typologie der Wohnbauten";"";"Corboz André";"Project funding (Div. I-III)";"Project funding";"Institut für Geschichte & Theorie der Architektur (gta) / D-ARCH ETH Zürich";"Switzerland";"ETH Zurich - ETHZ";"10404";"Visual arts and Art history";"Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture";"10404";"01.04.1981";"31.03.1982";"94833.00";""
"1035";"1000-001035";"Branchenstrukturwandel und Arbeitsmarkt";"";"Würgler Hans";"Project funding (Div. I-III)";"Project funding";"KOF - Konjunkturforschungsstelle ETH Zürich";"Switzerland";"ETH Zurich - ETHZ";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.10.1981";"30.09.1982";"120435.00";""
"1085";"1000-001085";"Concordanza lemmatizzata delle 'Operette morali' di G. Leopardi";"";"Besomi Ottavio";"Project funding (Div. I-III)";"Project funding";"Cattedra di lingua e letteratura italiana ETH-Zentrum";"Switzerland";"University of Zurich - ZH";"10502";"Romance languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10502";"01.10.1981";"30.09.1982";"39304.00";""
"1101";"1000-001101";"Geschichte der Bausteinbearbeitung, insbesondere in der westlichen Schweiz";"";"Mörsch Georg";"Project funding (Div. I-III)";"Project funding";"Institut für Denkmalpflege und Bauforschung ETH Zürich";"Switzerland";"ETH Zurich - ETHZ";"10404";"Visual arts and Art history";"Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture";"10404";"01.05.1982";"30.09.1983";"82565.00";""
"1187";"1000-001187";"Der Arbeitsmarkt im Konjunkturverlauf - eine Ueberprüfung konkurrierender theoretischer Ansätze für die Schweiz";"";"Würgler Hans";"Project funding (Div. I-III)";"Project funding";"KOF - Konjunkturforschungsstelle ETH Zürich";"Switzerland";"ETH Zurich - ETHZ";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.10.1982";"30.09.1985";"360865.00";""
"1220";"1000-001220";"Informationsverarbeitung und ihre Bedeutung für die Funktionsweise der menschlichen Hirnhemisphären.";"";"Fischer Hardi";"Project funding (Div. I-III)";"Project funding";"Institut für Verhaltenswissenschaften ETH-Zentrum, CAB";"Switzerland";"ETH Zurich - ETHZ";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.01.1983";"28.02.1986";"79310.00";""
"1321";"1000-001321";"Verteilungsgerechtigkeit als ökonomisch-ethisches Kriterium einer humanen Gesellschaft";"";"Binswanger Hans";"Project funding (Div. I-III)";"Project funding";"Forschungsgemeinschaft für Nationalökonomie Universität St. Gallen";"Switzerland";"ETH Zurich - ETHZ";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.07.1983";"30.06.1985";"97937.00";""
"1335";"1000-001335";"Stadtkernforschung Biel: Strukturanalytische Monographie, Phase II";"";"Corboz André";"Project funding (Div. I-III)";"Project funding";"Institut für Geschichte & Theorie der Architektur (gta) / D-ARCH ETH Zürich";"Switzerland";"ETH Zurich - ETHZ";"10404";"Visual arts and Art history";"Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture";"10404";"01.05.1983";"31.10.1985";"84938.00";""
"1336";"1000-001336";"Stadtkernforschung Biel: Historische und massanalytische Untersuchung (Vgl. Gesuch A. Corboz, ETHZ)";"";"Grosjean Georges";"Project funding (Div. I-III)";"Project funding";"Geographisches Institut Universität Bern";"Switzerland";"University of Berne - BE";"10404";"Visual arts and Art history";"Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture";"10404";"01.04.1983";"31.03.1987";"36869.00";""
"1349";"1000-001349";"Vergleich der Effizienz vorgegebener und individueller Arbeitsweisen";"";"Ulich Eberhard";"Project funding (Div. I-III)";"Project funding";"Institut für Arbeitspsychologie ETH-Zentrum";"Switzerland";"ETH Zurich - ETHZ";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1983";"30.09.1985";"60308.00";""
